Sno,Date,Time,State/UnionTerritory,ConfirmedIndianNational,ConfirmedForeignNational,Cured,Deaths,Confirmed,Day
1,2020-01-30,6:00 PM,Kerala,1,0,0,0,1,0
2,2020-01-31,6:00 PM,Kerala,1,0,0,0,1,1
3,2020-02-01,6:00 PM,Kerala,2,0,0,0,2,2
4,2020-02-02,6:00 PM,Kerala,3,0,0,0,3,3
5,2020-02-03,6:00 PM,Kerala,3,0,0,0,3,4
6,2020-02-04,6:00 PM,Kerala,3,0,0,0,3,5
7,2020-02-05,6:00 PM,Kerala,3,0,0,0,3,6
8,2020-02-06,6:00 PM,Kerala,3,0,0,0,3,7
9,2020-02-07,6:00 PM,Kerala,3,0,0,0,3,8
10,2020-02-08,6:00 PM,Kerala,3,0,0,0,3,9
11,2020-02-09,6:00 PM,Kerala,3,0,0,0,3,10
12,2020-02-10,6:00 PM,Kerala,3,0,0,0,3,11
13,2020-02-11,6:00 PM,Kerala,3,0,0,0,3,12
14,2020-02-12,6:00 PM,Kerala,3,0,0,0,3,13
15,2020-02-13,6:00 PM,Kerala,3,0,0,0,3,14
16,2020-02-14,6:00 PM,Kerala,3,0,0,0,3,15
17,2020-02-15,6:00 PM,Kerala,3,0,0,0,3,16
18,2020-02-16,6:00 PM,Kerala,3,0,0,0,3,17
19,2020-02-17,6:00 PM,Kerala,3,0,0,0,3,18
20,2020-02-18,6:00 PM,Kerala,3,0,0,0,3,19
21,2020-02-19,6:00 PM,Kerala,3,0,0,0,3,20
22,2020-02-20,6:00 PM,Kerala,3,0,0,0,3,21
23,2020-02-21,6:00 PM,Kerala,3,0,0,0,3,22
24,2020-02-22,6:00 PM,Kerala,3,0,0,0,3,23
25,2020-02-23,6:00 PM,Kerala,3,0,0,0,3,24
26,2020-02-24,6:00 PM,Kerala,3,0,0,0,3,25
27,2020-02-25,6:00 PM,Kerala,3,0,0,0,3,26
28,2020-02-26,6:00 PM,Kerala,3,0,0,0,3,27
29,2020-02-27,6:00 PM,Kerala,3,0,0,0,3,28
30,2020-02-28,6:00 PM,Kerala,3,0,0,0,3,29
31,2020-02-29,6:00 PM,Kerala,3,0,0,0,3,30
32,2020-03-01,6:00 PM,Kerala,3,0,0,0,3,31
33,2020-03-02,6:00 PM,Telengana,1,0,0,0,1,32
34,2020-03-02,6:00 PM,Kerala,3,0,0,0,3,32
35,2020-03-02,6:00 PM,Delhi,1,0,0,0,1,32
36,2020-03-03,6:00 PM,Telengana,1,0,0,0,1,33
37,2020-03-03,6:00 PM,Rajasthan,0,1,0,0,1,33
38,2020-03-03,6:00 PM,Kerala,3,0,3,0,3,33
39,2020-03-03,6:00 PM,Delhi,1,0,0,0,1,33
40,2020-03-04,6:00 PM,Uttar Pradesh,6,0,0,0,6,34
41,2020-03-04,6:00 PM,Kerala,3,0,3,0,3,34
42,2020-03-04,6:00 PM,Haryana,0,2,0,0,2,34
43,2020-03-04,6:00 PM,Delhi,1,0,0,0,1,34
44,2020-03-04,6:00 PM,Telengana,1,0,0,0,1,34
45,2020-03-04,6:00 PM,Rajasthan,1,14,0,0,15,34
46,2020-03-05,6:00 PM,Delhi,2,0,0,0,2,35
47,2020-03-05,6:00 PM,Haryana,0,2,0,0,2,35
48,2020-03-05,6:00 PM,Kerala,3,0,3,0,3,35
49,2020-03-05,6:00 PM,Rajasthan,1,14,0,0,15,35
50,2020-03-05,6:00 PM,Telengana,1,0,0,0,1,35
51,2020-03-05,6:00 PM,Uttar Pradesh,7,0,0,0,7,35
52,2020-03-06,6:00 PM,Delhi,3,0,0,0,3,36
53,2020-03-06,6:00 PM,Haryana,0,2,0,0,2,36
54,2020-03-06,6:00 PM,Kerala,3,0,3,0,3,36
55,2020-03-06,6:00 PM,Rajasthan,1,14,0,0,15,36
56,2020-03-06,6:00 PM,Uttar Pradesh,7,0,0,0,7,36
57,2020-03-06,6:00 PM,Telengana,1,0,0,0,1,36
58,2020-03-07,6:00 PM,Kerala,3,0,3,0,3,37
59,2020-03-07,6:00 PM,Uttar Pradesh,7,0,0,0,7,37
60,2020-03-07,6:00 PM,Ladakh,2,0,0,0,2,37
61,2020-03-07,6:00 PM,Telengana,1,0,0,0,1,37
62,2020-03-07,6:00 PM,Tamil Nadu,1,0,0,0,1,37
63,2020-03-07,6:00 PM,Delhi,3,0,0,0,3,37
64,2020-03-07,6:00 PM,Haryana,0,2,0,0,2,37
65,2020-03-07,6:00 PM,Rajasthan,1,14,0,0,15,37
66,2020-03-08,6:00 PM,Ladakh,2,0,0,0,2,38
67,2020-03-08,6:00 PM,Telengana,1,0,0,0,1,38
68,2020-03-08,6:00 PM,Tamil Nadu,1,0,0,0,1,38
69,2020-03-08,6:00 PM,Rajasthan,1,14,0,0,15,38
70,2020-03-08,6:00 PM,Kerala,8,0,3,0,8,38
71,2020-03-08,6:00 PM,Haryana,0,2,0,0,2,38
72,2020-03-08,6:00 PM,Delhi,3,0,0,0,3,38
73,2020-03-08,6:00 PM,Uttar Pradesh,7,0,0,0,7,38
74,2020-03-09,6:00 PM,Ladakh,2,0,0,0,2,39
75,2020-03-09,6:00 PM,Karnataka,1,0,0,0,1,39
76,2020-03-09,6:00 PM,Kerala,9,0,3,0,9,39
77,2020-03-09,6:00 PM,Maharashtra,2,0,0,0,2,39
78,2020-03-09,6:00 PM,Punjab,1,0,0,0,1,39
79,2020-03-09,6:00 PM,Rajasthan,1,14,0,0,15,39
80,2020-03-09,6:00 PM,Tamil Nadu,1,0,0,0,1,39
81,2020-03-09,6:00 PM,Telengana,1,0,0,0,1,39
82,2020-03-09,6:00 PM,Jammu and Kashmir,1,0,0,0,1,39
83,2020-03-09,6:00 PM,Uttar Pradesh,7,0,0,0,7,39
84,2020-03-09,6:00 PM,Haryana,0,2,0,0,2,39
85,2020-03-09,6:00 PM,Delhi,4,0,0,0,4,39
86,2020-03-10,6:00 PM,Uttar Pradesh,7,0,0,0,7,40
87,2020-03-10,6:00 PM,Ladakh,2,0,0,0,2,40
88,2020-03-10,6:00 PM,Delhi,4,0,0,0,4,40
89,2020-03-10,6:00 PM,Haryana,0,2,0,0,2,40
90,2020-03-10,6:00 PM,Karnataka,4,0,0,0,4,40
91,2020-03-10,6:00 PM,Kerala,15,0,3,0,15,40
92,2020-03-10,6:00 PM,Maharashtra,5,0,0,0,5,40
93,2020-03-10,6:00 PM,Punjab,1,0,0,0,1,40
