Date,Day,ConfirmedIndianNational,ConfirmedForeignNational,Cured,Deaths,Confirmed
2020-08-30,213,-----------------------------------,-----------------------------------,2713933,63498,3542733
2020-08-31,214,-----------------------------------,-----------------------------------,2774801,64469,3621245
2020-09-01,215,-----------------------------------,-----------------------------------,2839882,65288,3691166
2020-09-02,216,-----------------------------------,-----------------------------------,2901908,66333,3769523
2020-09-03,217,-----------------------------------,-----------------------------------,2970492,67376,3853406
2020-09-04,218,-----------------------------------,-----------------------------------,3037151,68472,3936747
2020-09-05,219,-----------------------------------,-----------------------------------,3107223,69561,4023179
2020-09-06,220,-----------------------------------,-----------------------------------,3180865,70626,4113811
2020-09-07,221,-----------------------------------,-----------------------------------,3250429,71642,4204613
2020-09-08,222,-----------------------------------,-----------------------------------,3323950,72775,4280422
2020-09-09,223,-----------------------------------,-----------------------------------,3398844,73890,4370128
2020-09-10,224,-----------------------------------,-----------------------------------,3471783,75062,4465863
2020-09-11,225,-----------------------------------,-----------------------------------,3542663,76271,4562414
2020-09-12,226,-----------------------------------,-----------------------------------,3624196,77472,4659984
2020-09-13,227,-----------------------------------,-----------------------------------,3702595,78586,4754356
2020-09-14,228,-----------------------------------,-----------------------------------,3780107,79722,4846427
2020-09-15,229,-----------------------------------,-----------------------------------,3859399,80776,4930236
2020-09-16,230,-----------------------------------,-----------------------------------,3942360,82066,5020359
2020-09-17,231,-----------------------------------,-----------------------------------,4025079,83198,5118253
2020-09-18,232,-----------------------------------,-----------------------------------,4112551,84372,5214677
2020-09-19,233,-----------------------------------,-----------------------------------,4208431,85619,5308014
2020-09-20,234,-----------------------------------,-----------------------------------,4303043,86752,5400619
2020-09-21,235,-----------------------------------,-----------------------------------,4396399,87882,5487580
2020-09-22,236,-----------------------------------,-----------------------------------,4497867,88935,5562663
2020-09-23,237,-----------------------------------,-----------------------------------,4587613,90020,5646010
2020-09-24,238,-----------------------------------,-----------------------------------,4674987,91149,5732518
2020-09-25,239,-----------------------------------,-----------------------------------,4756164,92290,5818570
2020-09-26,240,-----------------------------------,-----------------------------------,4849584,93379,5903932
2020-09-27,241,-----------------------------------,-----------------------------------,4941627,94503,5992532
2020-09-28,242,-----------------------------------,-----------------------------------,5016520,95542,6074702
2020-09-29,243,-----------------------------------,-----------------------------------,5101397,96318,6145291
2020-09-30,244,-----------------------------------,-----------------------------------,5187825,97497,6225763
2020-10-01,245,-----------------------------------,-----------------------------------,5273201,98678,6312584
2020-10-02,246,-----------------------------------,-----------------------------------,5352078,99773,6394068
2020-10-03,247,-----------------------------------,-----------------------------------,5427706,100842,6473544
2020-10-04,248,-----------------------------------,-----------------------------------,5509966,101782,6549373
2020-10-05,249,-----------------------------------,-----------------------------------,5586703,102685,6623815
2020-10-06,250,-----------------------------------,-----------------------------------,5662490,103569,6685082
2020-10-07,251,-----------------------------------,-----------------------------------,5744693,104555,6757131
2020-10-08,252,-----------------------------------,-----------------------------------,5827704,105526,6835655
2020-10-09,253,-----------------------------------,-----------------------------------,5906069,106490,6906151
2020-10-10,254,-----------------------------------,-----------------------------------,5988822,107416,6979423
2020-10-11,255,-----------------------------------,-----------------------------------,6077976,108334,7053806
2020-10-12,256,-----------------------------------,-----------------------------------,6149535,109150,7120538
2020-10-13,257,-----------------------------------,-----------------------------------,6227295,109856,7175880
2020-10-14,258,-----------------------------------,-----------------------------------,6301927,110586,7239389
2020-10-15,259,-----------------------------------,-----------------------------------,6383441,111266,7307097
2020-10-16,260,-----------------------------------,-----------------------------------,6453779,112161,7370468
2020-10-17,261,-----------------------------------,-----------------------------------,6524595,112998,7432680
2020-10-18,262,-----------------------------------,-----------------------------------,6597209,114031,7494551
2020-10-19,263,-----------------------------------,-----------------------------------,6663608,114610,7550273
2020-10-20,264,-----------------------------------,-----------------------------------,6733328,115197,7597063
2020-10-21,265,-----------------------------------,-----------------------------------,6795103,115914,7651107
2020-10-22,266,-----------------------------------,-----------------------------------,6874518,116616,7706946
2020-10-23,267,-----------------------------------,-----------------------------------,6948497,117306,7761312
2020-10-24,268,-----------------------------------,-----------------------------------,7016046,117956,7814682
2020-10-25,269,-----------------------------------,-----------------------------------,7078123,118534,7864811
2020-10-26,270,-----------------------------------,-----------------------------------,7137228,119014,7909959
2020-10-27,271,-----------------------------------,-----------------------------------,7201070,119502,7946429
2020-10-28,272,-----------------------------------,-----------------------------------,7259509,120010,7990322
2020-10-29,273,-----------------------------------,-----------------------------------,7315989,120527,8040203
2020-10-30,274,-----------------------------------,-----------------------------------,7373375,121090,8088851
2020-10-31,275,-----------------------------------,-----------------------------------,7432829,121641,8137119
2020-11-01,276,-----------------------------------,-----------------------------------,7491513,122111,8184082
2020-11-02,277,-----------------------------------,-----------------------------------,7544798,122607,8229313
2020-11-03,278,-----------------------------------,-----------------------------------,7603121,123097,8267623
2020-11-04,279,-----------------------------------,-----------------------------------,7656478,123611,8313876
2020-11-05,280,-----------------------------------,-----------------------------------,7711809,124315,8364086
2020-11-06,281,-----------------------------------,-----------------------------------,7765966,124985,8411724
2020-11-07,282,-----------------------------------,-----------------------------------,7819886,125562,8462080
2020-11-08,283,-----------------------------------,-----------------------------------,7868968,126121,8507754
2020-11-09,284,-----------------------------------,-----------------------------------,7917373,126611,8553657
2020-11-10,285,-----------------------------------,-----------------------------------,7963457,127059,8591730
2020-11-11,286,-----------------------------------,-----------------------------------,8013783,127571,8636011
2020-11-12,287,-----------------------------------,-----------------------------------,8066501,128121,8683916
2020-11-13,288,-----------------------------------,-----------------------------------,8115580,128668,8728795
2020-11-14,289,-----------------------------------,-----------------------------------,8163572,129188,8773479
2020-11-15,290,-----------------------------------,-----------------------------------,8205728,129635,8814579
2020-11-16,291,-----------------------------------,-----------------------------------,8249579,130070,8845127
2020-11-17,292,-----------------------------------,-----------------------------------,8290370,130519,8874290
2020-11-18,293,-----------------------------------,-----------------------------------,8335109,130993,8912907
2020-11-19,294,-----------------------------------,-----------------------------------,8383602,131578,8958483
2020-11-20,295,-----------------------------------,-----------------------------------,8428409,132162,9004365
2020-11-21,296,-----------------------------------,-----------------------------------,8478124,132726,9050597
2020-11-22,297,-----------------------------------,-----------------------------------,8521617,133227,9095806
2020-11-23,298,-----------------------------------,-----------------------------------,8562641,133738,9139865
2020-11-24,299,-----------------------------------,-----------------------------------,8604955,134218,9177840
2020-11-25,300,-----------------------------------,-----------------------------------,8642771,134699,9222216
2020-11-26,301,-----------------------------------,-----------------------------------,8679138,135223,9266705
2020-11-27,302,-----------------------------------,-----------------------------------,8718517,135715,9309787
2020-11-28,303,-----------------------------------,-----------------------------------,8759969,136200,9351109
2020-11-29,304,-----------------------------------,-----------------------------------,8802267,136696,9392919
2020-11-30,305,-----------------------------------,-----------------------------------,8847600,137139,9431691
2020-12-01,306,-----------------------------------,-----------------------------------,8889585,137621,9462809
2020-12-02,307,-----------------------------------,-----------------------------------,8932647,138122,9499413
2020-12-03,308,-----------------------------------,-----------------------------------,8973373,138648,9534964
2020-12-04,309,-----------------------------------,-----------------------------------,9016289,139188,9571559
2020-12-05,310,-----------------------------------,-----------------------------------,9058822,139700,9608211
2020-12-06,311,-----------------------------------,-----------------------------------,9100792,140182,9644222
2020-12-07,312,-----------------------------------,-----------------------------------,9139901,140573,9677203
2020-12-08,313,-----------------------------------,-----------------------------------,9178946,140958,9703770
2020-12-09,314,-----------------------------------,-----------------------------------,9215581,141360,9735850
2020-12-10,315,-----------------------------------,-----------------------------------,9253306,141772,9767371
2020-12-11,316,------------------------------------,------------------------------------,9290834,142186,9796769
2020-12-12,317,------------------------------------,------------------------------------,9324328,142628,9826775
2020-12-13,318,------------------------------------,------------------------------------,9357464,143019,9857029
2020-12-14,319,------------------------------------,------------------------------------,9388159,143355,9884100
2020-12-15,320,------------------------------------,------------------------------------,9422636,143709,9906104
2020-12-16,321,------------------------------------,------------------------------------,9456449,144096,9932547
2020-12-17,322,------------------------------------,------------------------------------,9489740,144451,9956557
2020-12-18,323,------------------------------------,------------------------------------,9520827,144789,9979447
2020-12-19,324,------------------------------------,------------------------------------,9550712,145136,10004599
2020-12-20,325,------------------------------------,------------------------------------,9580402,145477,10031223
2020-12-21,326,------------------------------------,------------------------------------,9606111,145810,10058144
2020-12-22,327,------------------------------------,------------------------------------,9636487,146111,10068330
2020-12-23,328,------------------------------------,------------------------------------,9663382,146444,10099066
2020-12-24,329,------------------------------------,------------------------------------,9693173,146756,10123778
2020-12-25,330,------------------------------------,------------------------------------,9717834,147092,10146845
2020-12-26,331,------------------------------------,------------------------------------,9740108,147343,10169118
2020-12-27,332,------------------------------------,------------------------------------,9761538,147622,10187850
2020-12-28,333,------------------------------------,------------------------------------,9782669,147901,10207871
2020-12-29,334,------------------------------------,------------------------------------,9807569,148153,10224303
2020-12-30,335,------------------------------------,------------------------------------,9834141,148439,10244852
2020-12-31,336,------------------------------------,------------------------------------,9860280,148738,10266674
2021-01-01,337,------------------------------------,------------------------------------,9883461,148994,10286709
2021-01-02,338,------------------------------------,------------------------------------,9906387,149218,10305788
2021-01-03,339,------------------------------------,------------------------------------,9927310,149435,10323965
2021-01-04,340,------------------------------------,------------------------------------,9946867,149649,10340469
2021-01-05,341,------------------------------------,------------------------------------,9975958,149850,10356844
2021-01-06,342,------------------------------------,------------------------------------,9997272,150114,10374932
